Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-04-28,429.09968238248996,432.0140564799917,416.0349663434472,420.5262756347656,2531600,0.0,0.0
2025-04-29,421.00535136894644,429.5088858293294,418.0011547993255,426.7043151855469,2437300,0.0,0.0
2025-04-30,426.824079415965,428.48087713610823,422.17307555406313,428.1714782714844,2944300,0.0,0.0
2025-05-01,425.03754275266465,428.04173943338026,414.5778017585532,419.0791015625,2771900,0.0,0.0
2025-05-02,427.6425061384091,430.6067714583548,421.60420255934645,422.73199462890625,2492400,0.0,0.0
2025-05-05,421.5842215805259,424.1592559370671,417.05298105960657,421.4544677734375,2637200,0.0,0.0
2025-05-06,418.6399659564702,422.7420140613358,405.71496294845605,406.23394775390625,4070200,0.0,0.0
2025-05-07,408.59935118888444,412.551694630011,403.7886528451725,407.06231689453125,2959400,0.0,0.0
2025-05-08,406.2838374295815,414.94706652955375,402.0320549746607,409.9866638183594,3013600,0.0,0.0
2025-05-09,409.807014846767,411.69334885373723,400.97410074850694,402.3514404296875,2318700,0.0,0.0
2025-05-12,410.3459911921794,431.8942913611202,408.9087697880714,431.7545471191406,3716400,0.0,0.0
2025-05-13,430.3472864200597,434.13996603430155,426.47477470574535,428.1216125488281,2726900,0.0,0.0
2025-05-14,429.1296035146497,429.718460384093,404.9963100078997,405.2657775878906,3201100,0.0,0.0
2025-05-15,402.65084617675944,406.2538900029758,389.74582526487427,404.14794921875,4129600,0.0,0.0
2025-05-16,404.2178580046098,411.8331277090424,400.8943023517078,411.26422119140625,2498200,0.0,0.0
2025-05-19,407.44159218730397,413.2703096804867,406.47346433988776,413.12060546875,1665000,0.0,0.0
2025-05-20,411.85304606438046,414.597735010047,409.0983971435138,412.950927734375,2142000,0.0,0.0
2025-05-21,408.5294902712839,411.86303609609286,396.59256661083737,397.51080322265625,2965800,0.0,0.0
2025-05-22,393.88781576953477,400.96411936648417,393.0494416965507,399.7065734863281,2891400,0.0,0.0
2025-05-23,393.0195131330791,395.5745667092367,389.9055434908021,392.8997497558594,2318100,0.0,0.0
2025-05-27,401.16372342759774,406.96249996029803,399.7265021069267,402.7705993652344,2705700,0.0,0.0
2025-05-28,403.0600519509603,405.3755785979144,399.61673328121327,401.3533630371094,1931400,0.0,0.0
2025-05-29,402.27158507445927,406.5832492513092,400.6447586474842,402.9702453613281,2499300,0.0,0.0
2025-05-30,400.93418109360425,404.6569884224851,396.55267520637307,402.04205322265625,2521300,0.0,0.0
2025-06-02,399.36721006881146,399.73649060132726,391.93158633416766,395.70428466796875,2584000,0.0,0.0
2025-06-03,394.3070238418978,401.62285429353517,390.5243347944422,399.1576232910156,3204100,0.0,0.0
2025-06-04,401.742619142658,407.69113077635325,401.41326985953606,402.88043212890625,2280700,0.0,0.0
2025-06-05,403.94836048316915,404.45735481404904,395.98376120201084,397.59063720703125,2504000,0.0,0.0
2025-06-06,399.78640139356486,405.8147449507806,399.78640139356486,401.1238098144531,2630000,0.0,0.0
2025-06-09,404.39746113904755,411.813104133967,400.7445261090077,407.7409973144531,2164000,0.0,0.0
2025-06-10,410.61545047355315,419.1589161702727,405.9444962340517,413.7394104003906,2573800,0.0,0.0
2025-06-11,415.0369059591949,423.69017543630326,412.4818523921048,414.3482360839844,3062700,0.0,0.0
2025-06-12,413.18052458008964,416.0050458261697,409.1183773347217,414.52789306640625,2067600,0.0,0.0
2025-06-13,410.0019331279074,412.95926975842195,401.20983806845055,402.3987731933594,2385800,0.43,0.0
2025-06-16,406.51507869868516,406.51507869868516,396.84376790146064,404.7166748046875,1973200,0.0,0.0
2025-06-17,399.6412585509586,403.1980633128454,389.51033801139175,389.9100036621094,3040400,0.0,0.0
2025-06-18,389.90999129208336,395.42502950864514,385.1142780474925,392.2079162597656,2884300,0.0,0.0
2025-06-20,392.5376479222857,397.5431339281531,390.14977677866057,397.5231628417969,3812600,0.0,0.0
2025-06-23,394.7756133614065,400.24070854604366,392.64751887684696,399.8510437011719,2486100,0.0,0.0
2025-06-24,401.43962187975893,405.7957273428567,398.82197658079366,404.00732421875,2083000,0.0,0.0
2025-06-25,401.8592754177295,414.62781262050686,397.7229736878536,410.2817077636719,3100800,0.0,0.0
2025-06-26,409.1726936191294,414.9375075508992,408.91291705530585,411.7503662109375,2927700,0.0,0.0
2025-06-27,412.0301183125902,414.02832454154577,406.5850246328108,407.913818359375,3923100,0.0,0.0
2025-06-30,407.47421430695636,412.90933773904726,401.0899612014844,405.0963439941406,3919100,0.0,0.0
2025-07-01,405.9256318312931,428.7151724951233,404.4869208401962,421.0920104980469,2603000,0.0,0.0
2025-07-02,424.6188388395673,430.07393350245957,421.37175360138235,427.3763732910156,2669300,0.0,0.0
2025-07-03,428.23559158268466,432.51175188809515,425.69786101889633,428.9449462890625,1359300,0.0,0.0
2025-07-07,426.17742938748955,428.9349637876459,415.0474363560757,418.3244934082031,2497200,0.0,0.0
2025-07-08,418.2045614152457,432.7515305755542,418.2045614152457,425.78778076171875,2620900,0.0,0.0
2025-07-09,421.8213444975304,429.00489828503544,411.51059310278225,419.50341796875,2735100,0.0,0.0
2025-07-10,420.4525438889904,438.0967082825553,417.94481584293146,430.34368896484375,2932800,0.0,0.0
2025-07-11,429.86411992792443,435.92868321992063,425.2682394506419,434.469970703125,2511400,0.0,0.0
2025-07-14,428.6152477685985,430.11390248107614,421.66149843996067,424.9585266113281,2819300,0.0,0.0
2025-07-15,428.05575232809497,428.6152476480459,416.8258427759545,417.6151123046875,2090500,0.0,0.0
2025-07-16,417.9348212184271,420.17280243713657,413.4088853311789,415.9366149902344,2762300,0.0,0.0
2025-07-17,414.62778652057756,426.6170237211726,412.9193287567507,424.5988464355469,2494600,0.0,0.0
2025-07-18,425.53801656612086,427.52622202870725,411.0410204603796,414.3780212402344,2652500,0.0,0.0
2025-07-21,414.5678437686115,414.6277875155418,402.99821276775833,404.5768127441406,2733800,0.0,0.0
2025-07-22,405.9455951956246,428.60524713902703,404.78663189205446,427.2364807128906,3674200,0.0,0.0
2025-07-23,472.8355561363476,487.49238195027937,465.13244906615625,466.2914123535156,8928300,0.0,0.0
2025-07-24,466.2514556168318,484.1653668254779,464.6229126905536,474.60394287109375,6234000,0.0,0.0
2025-07-25,479.54953660142746,483.16628509347277,473.98452478831734,477.8910217285156,4205500,0.0,0.0
2025-07-28,475.01360392316036,486.67312060541127,474.44410781019263,484.5250549316406,3412200,0.0,0.0
2025-07-29,481.80748441491284,488.0818508616092,479.97913909981804,481.7275695800781,3164200,0.0,0.0
2025-07-30,483.54593171018547,484.4451184065991,473.2251795615358,476.8519287109375,2583500,0.0,0.0
2025-07-31,470.35778497959194,483.43604170002584,466.32139967134754,467.26055908203125,3413900,0.0,0.0
2025-08-01,460.6165182784835,463.68377222836807,451.04512363658284,462.6247253417969,2756900,0.0,0.0
2025-08-04,459.68735188312036,467.35045574355644,456.13054721302404,466.15155029296875,2092800,0.0,0.0
2025-08-05,466.56120431437586,469.4485965898937,464.4231089181371,466.001708984375,1992300,0.0,0.0
2025-08-06,464.81275174646055,466.0816017221556,445.8797355790275,448.537353515625,2539300,0.0,0.0
2025-08-07,454.45204081899413,456.6800518035223,450.7653782737004,454.3321533203125,1490100,0.0,0.0
2025-08-08,453.0832666388481,461.3058963384187,451.03511742759866,460.3067932128906,1689900,0.0,0.0
2025-08-11,461.3758433027839,467.2805464645523,458.91802764810143,461.9753112792969,1706700,0.0,0.0
2025-08-12,460.4966399436441,477.76114128419215,460.4966399436441,476.9818420410156,2104200,0.0,0.0
2025-08-13,480.0091198089803,486.54326294701764,478.2906611714301,484.355224609375,2054800,0.0,0.0
2025-08-14,480.3088188064387,485.46419450708794,478.8101641431176,484.60498046875,1955200,0.0,0.0
2025-08-15,486.29348768561164,491.10914170110004,485.56413140887224,488.5714416503906,2462500,0.0,0.0
2025-08-18,489.69042615545817,492.7976222809188,486.70311752818526,487.1027526855469,2211100,0.0,0.0
2025-08-19,490.4797239124116,500.48072554946083,489.45064890409765,497.8431091308594,2578500,0.0,0.0
2025-08-20,498.3226507439937,499.9212218294096,492.3180617435095,494.3662109375,2351500,0.0,0.0
2025-08-21,491.9983492338617,494.3362469061623,482.3769811850271,483.3261413574219,1360600,0.0,0.0
2025-08-22,487.09274846068314,501.9394368490746,486.45333831145734,499.54156494140625,1778400,0.0,0.0
2025-08-25,498.80225234340173,499.1319429703205,488.7412762103324,490.30987548828125,1044300,0.0,0.0
2025-08-26,489.6504420147581,491.07915215168447,486.29347018336125,488.0419006347656,1341600,0.0,0.0
2025-08-27,486.1935665352955,490.53967129804613,482.5468461675468,487.6822204589844,1294800,0.0,0.0
2025-08-28,487.212628876846,490.6995194883012,482.95647033203056,489.3007507324219,1407700,0.0,0.0
2025-08-29,489.50060114415203,493.8367051686748,485.48421744618975,492.2781066894531,1228200,0.0,0.0
2025-09-02,488.8711452540813,492.25811946650026,478.6003663991211,487.0927429199219,1303800,0.0,0.0
2025-09-03,486.5932042604684,489.1009629152571,481.0981369542646,484.11541748046875,1219100,0.0,0.0
2025-09-04,481.64763681615926,489.82032381815804,471.1870255361305,489.0509948730469,1404200,0.0,0.0
2025-09-05,489.5605289143517,501.5497663571522,488.68131329011317,492.158203125,1442600,0.0,0.0
2025-09-08,487.332533984307,489.63048953043574,480.5186736530983,487.212646484375,2223700,0.0,0.0
2025-09-09,486.0437131095805,489.5505444451566,481.08813951508245,481.97735595703125,1505900,0.0,0.0
2025-09-10,480.68848874219935,485.38428560742307,475.21342315233835,476.11260986328125,1442700,0.0,0.0
2025-09-11,480.14896491397786,491.5587359819327,479.9291610075484,490.9692687988281,1509800,0.0,0.0
2025-09-12,488.1717556140395,490.8194032459276,479.02996826171875,479.02996826171875,1543200,0.0,0.0
2025-09-15,478.7799987792969,482.94000244140625,470.739990234375,474.4599914550781,1663500,0.43,0.0
2025-09-16,470.2699890136719,484.5899963378906,470.04998779296875,480.739990234375,1799800,0.0,0.0
2025-09-17,482.9599914550781,486.57000732421875,469.1400146484375,472.6400146484375,1947500,0.0,0.0
2025-09-18,477.1499938964844,482.260009765625,473.0299987792969,481.1000061035156,1576400,0.0,0.0
2025-09-19,483.2900085449219,487.989990234375,478.0199890136719,479.5799865722656,4244100,0.0,0.0
2025-09-22,475.4800109863281,481.739990234375,470.739990234375,474.989990234375,2352200,0.0,0.0
2025-09-23,471.1199951171875,475.57000732421875,467.2799987792969,469.75,3244900,0.0,0.0
2025-09-24,467.8999938964844,471.3299865722656,462.92999267578125,468.0,2409600,0.0,0.0
2025-09-25,467.010009765625,468.760009765625,457.4100036621094,459.2200012207031,3229300,0.0,0.0
2025-09-26,461.05999755859375,465.739990234375,460.30999755859375,464.239990234375,1886400,0.0,0.0
